회차,주요안건,회의내용 요약,키워드(가중치포함),키워드_가중치맵,키워드_RAW_JSON
417회,마약수사 외압 의혹 관련 청문회 실시 계획서 채택; 청문회 증인 및 참고인 출석과 자료 제출 문제; 청문회 일정과 을지훈련 기간 중 개최 논란,"제417회 국회 행정안전위원회는 조지호 경찰청장 후보자 인사청문회 당시 제기된 마약수사 외압 의혹과 관련하여 청문회 실시 계획서를 채택하고 증인 신문을 진행하였다. 청문회 명칭과 증인 채택, 일정에 대해 여야 간 이견이 있었으며, 특히 청문회가 국가 비상훈련인 을지훈련 기간에 개최되는 점에 대한 반발이 있었다. 청문회에서는 수사 외압 여부, 이첩 지시의 실체, 위증 의혹 등이 집중적으로 다뤄졌다. 증인들의 진술이 엇갈렸으나 국회는 진실 규명을 위해 지속적으로 자료 제출과 협조를 요구할 방침이다. 일선 경찰관들의 고충과 수사 독립성 보장의 필요성도 강조되었다. 청문회는 국민적 의혹 해소와 경찰 조직의 공정성 확보를 위한 국회의 역할을 재확인하는 계기가 되었다.","마약수사 외압 의혹(10), 청문회(10), 증인 출석(8), 자료 제출(8), 이첩 지시(7), 위증 의혹(7), 을지훈련(6), 경찰 수사권 독립(6), 일선 경찰관 고충(5), 국회와 정부 협력(5)","{""청문회"":10,""을지훈련"":6,""위증 의혹"":7,""이첩 지시"":7,""자료 제출"":8,""증인 출석"":8,""경찰 수사권 독립"":6,""국회와 정부 협력"":5,""일선 경찰관 고충"":5,""마약수사 외압 의혹"":10}","[{""reason"":""회의 전반에서 가장 핵심적으로 반복 언급된 주제"",""weight"":10,""keyword"":""마약수사 외압 의혹""},{""reason"":""주요 안건과 직접적으로 연관된 핵심 개념"",""weight"":10,""keyword"":""청문회""},{""reason"":""청문회 진행의 핵심 쟁점으로 다뤄진 사항"",""weight"":8,""keyword"":""증인 출석""},{""reason"":""국회의 요구와 정부기관 협조 문제로 반복 언급됨"",""weight"":8,""keyword"":""자료 제출""},{""reason"":""수사 외압 여부 판단의 핵심 쟁점"",""weight"":7,""keyword"":""이첩 지시""},{""reason"":""청문회 과정에서 제기된 중요한 문제"",""weight"":7,""keyword"":""위증 의혹""},{""reason"":""청문회 일정과 겹쳐 논란이 된 국가 비상훈련"",""weight"":6,""keyword"":""을지훈련""},{""reason"":""회의에서 강조된 경찰 수사의 공정성과 중립성 확보 문제"",""weight"":6,""keyword"":""경찰 수사권 독립""},{""reason"":""경찰 내부 상황과 수사 환경에 대한 언급이 반복됨"",""weight"":5,""keyword"":""일선 경찰관 고충""},{""reason"":""청문회 진행을 위한 협조와 갈등 상황을 반영"",""weight"":5,""keyword"":""국회와 정부 협력""}]"
418회,경찰의 집회 진압 과정에서 발생한 부상 및 과잉진압 의혹과 관련한 사과 및 재발 방지 요구; 5·18 민주화운동 관련 발언 논란 및 김광동 증인 국회모욕죄 고발 건; 2024년도 행정안전부 및 경찰·소방 예산 심의 진행과 관련한 논쟁 및 일정 조율; 국정감사 불출석 및 동행명령 회피 증인 4명에 대한 고발 건; 광주시장 강기정 위증죄 고발 요청,"이번 418회 국회 행정안전위원회에서는 경찰의 최근 집회 진압 과정에서의 부상자 발생과 과잉진압 의혹에 대해 야당이 경찰청장의 사과와 재발 방지를 요구하며 예산 심의를 중단하겠다고 압박했다. 여당은 경찰의 법 집행 정당성을 강조하며 집회 주최 측의 책임도 지적하였다. 5·18 민주화운동 관련 발언을 둘러싼 여야 간 심각한 갈등이 표출되어 김광동 증인에 대한 국회모욕죄 고발이 의결되었고, 불출석 및 동행명령 회피 증인 4명에 대한 고발도 처리되었다. 또한 광주시장 강기정에 대한 위증죄 고발 요청도 제기되었다. 예산 심의 일정 지연과 회의 진행 방식에 대한 다툼이 이어지며 회의가 파행을 겪었다.","경찰진압(10), 사과 및 재발방지(9), 5·18 민주화운동(10), 국회모욕죄 고발(9), 예산심의(8), 집회·결사의 자유(7), 과잉진압(7), 위증죄 고발(6), 국정감사(6), 회의 파행(5)","{""경찰진압"":10,""과잉진압"":7,""국정감사"":6,""예산심의"":8,""회의 파행"":5,""위증죄 고발"":6,""5·18 민주화운동"":10,""국회모욕죄 고발"":9,""사과 및 재발방지"":9,""집회·결사의 자유"":7}","[{""reason"":""회의 전반에서 경찰의 집회 진압과 관련된 부상 및 과잉진압 의혹이 핵심 쟁점으로 반복 언급됨"",""weight"":10,""keyword"":""경찰진압""},{""reason"":""야당이 경찰청장에게 요구한 사과와 재발 방지 약속이 주요 요구사항임"",""weight"":9,""keyword"":""사과 및 재발방지""},{""reason"":""회의 중 5·18 관련 발언 논란과 증인 고발이 핵심 이슈로 부각됨"",""weight"":10,""keyword"":""5·18 민주화운동""},{""reason"":""김광동 증인 및 불출석 증인들에 대한 국회모욕죄 고발이 의결되어 중요한 안건임"",""weight"":9,""keyword"":""국회모욕죄 고발""},{""reason"":""경찰 진압 문제로 예산 심의가 지연되면서 회의 진행에 큰 영향을 미침"",""weight"":8,""keyword"":""예산심의""},{""reason"":""헌법상 보장된 집회·결사의 자유와 경찰의 법 집행 간 충돌 논쟁이 주요 쟁점임"",""weight"":7,""keyword"":""집회·결사의 자유""},{""reason"":""경찰의 과잉진압 여부가 여야 간 대립의 핵심 쟁점임"",""weight"":7,""keyword"":""과잉진압""},{""reason"":""광주시장 강기정에 대한 위증죄 고발 요청이 회의 중 제기됨"",""weight"":6,""keyword"":""위증죄 고발""},{""reason"":""국정감사 관련 증인 출석 문제와 고발 건이 논의됨"",""weight"":6,""keyword"":""국정감사""},{""reason"":""여야 간 격렬한 논쟁과 일정 지연으로 회의가 파행된 상황이 반복됨"",""weight"":5,""keyword"":""회의 파행""}]"
419회,12·3 비상계엄 선포 및 내란 사태 진상규명; 경찰청 및 행정안전부의 역할과 거짓말 문제; 국회 및 선관위에 대한 내란 관련 압박과 부정선거 음모론; 정부 여당과 대통령실의 내란 관련 책임과 국회 정상화 촉구; 관련 자료 제출 및 수사 협조 요구,"본 회의는 12월 3일 비상계엄 선포와 관련된 내란 사태의 진상규명과 정부 기관들의 역할 및 책임을 집중적으로 다뤘다. 경찰청장과 서울경찰청장의 거짓말과 문서 허위작성 문제, 행정안전부의 자료 미제출 의혹이 제기되었으며, 국회 내 여당 위원들의 불참과 국회 정상화 촉구가 강조되었다. 또한, 선관위에 대한 부정선거 음모론과 정부·여당의 지속적 압박이 문제로 지적되었다. 경찰과 행안부에 대한 자료 제출과 수사 협조가 요구되었고, 국회의 역할과 책임을 다할 것을 촉구하는 내용으로 마무리되었다.","비상계엄(10), 내란(10), 경찰청장(9), 행정안전부(8), 국회 정상화(8), 선관위(8), 부정선거 음모론(7), 자료 제출(7), 윤석열 대통령(7), 수사 협조(6)","{""내란"":10,""선관위"":8,""경찰청장"":9,""비상계엄"":10,""수사 협조"":6,""자료 제출"":7,""행정안전부"":8,""국회 정상화"":8,""윤석열 대통령"":7,""부정선거 음모론"":7}","[{""reason"":""회의 전반에서 내란 사태의 핵심 사건으로 반복 언급됨"",""weight"":10,""keyword"":""비상계엄""},{""reason"":""비상계엄 선포와 관련된 불법 행위 및 국가 위기 상황의 본질"",""weight"":10,""keyword"":""내란""},{""reason"":""거짓말과 허위보고 문제로 회의 핵심 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""경찰청장""},{""reason"":""자료 미제출과 내란 관련 의혹으로 주요 질의 대상"",""weight"":8,""keyword"":""행정안전부""},{""reason"":""여당 위원 불참 문제와 국회의 역할 강조와 관련됨"",""weight"":8,""keyword"":""국회 정상화""},{""reason"":""부정선거 음모론과 정부·여당의 압박 대상으로 반복 언급됨"",""weight"":8,""keyword"":""선관위""},{""reason"":""내란 사태 배경 및 선관위 공격의 근거로 회의에서 다뤄짐"",""weight"":7,""keyword"":""부정선거 음모론""},{""reason"":""진상규명과 수사 협조를 위한 핵심 요구사항"",""weight"":7,""keyword"":""자료 제출""},{""reason"":""내란 주도자로 지목되며 회의 내내 비판의 중심에 있음"",""weight"":7,""keyword"":""윤석열 대통령""},{""reason"":""경찰과 행안부에 대한 수사 및 자료 제출 요청과 관련됨"",""weight"":6,""keyword"":""수사 협조""}]"
420회,청원 심사기간 연장 요구의 건 처리; 지방세 관계법률안 85건 심사 및 의결; 현안 질의 및 정치 현안 관련 토론,"제420회 국회 임시회 행정안전위원회는 청원 심사기간 연장 요구를 의결하고, 지방세기본법 등 지방세 관련 85건의 법률안을 심사 및 의결하였다. 법안심사소위원회의 3일간 심도 있는 논의를 통해 여야 합의로 법안을 처리하였으며, 소방안전교부세 관련 법안도 포함되었다. 이어 현안 질의에서는 진화위원장 임명 논란과 내란 관련 정치적 쟁점이 집중적으로 다뤄졌고, 경찰청장과 행안부 관계자에 대한 질의도 이루어졌다. 회의는 법률안 의결과 자료 제출 요청, 서면질의 답변 지시 등으로 마무리되었다.","지방세법(10), 청원 심사기간 연장(8), 소방안전교부세(7), 진화위원장 임명 논란(9), 경찰청장 질의(7), 법안심사소위원회(6), 행정안전부(6), 가짜뉴스(5), 공권력 집행(7), 서면질의(4)","{""가짜뉴스"":5,""서면질의"":4,""지방세법"":10,""행정안전부"":6,""공권력 집행"":7,""경찰청장 질의"":7,""소방안전교부세"":7,""법안심사소위원회"":6,""청원 심사기간 연장"":8,""진화위원장 임명 논란"":9}","[{""reason"":""회의의 핵심 주제로 지방세 관련 법률안 85건을 심사하고 의결함"",""weight"":10,""keyword"":""지방세법""},{""reason"":""청원 4건의 심사기간 연장 요구가 공식적으로 처리됨"",""weight"":8,""keyword"":""청원 심사기간 연장""},{""reason"":""소방관 순직 추모 및 재원 확보를 위한 법안이 주요 발언과 의결 대상임"",""weight"":7,""keyword"":""소방안전교부세""},{""reason"":""현안 질의에서 내란 관련 정치적 쟁점으로 집중 논의됨"",""weight"":9,""keyword"":""진화위원장 임명 논란""},{""reason"":""경찰의 공권력 집행과 관련한 현안 질의가 중요하게 다뤄짐"",""weight"":7,""keyword"":""경찰청장 질의""},{""reason"":""3일간의 법안 심사 과정과 여야 합의가 반복 언급됨"",""weight"":6,""keyword"":""법안심사소위원회""},{""reason"":""법률안 의결 후 행정안전부 장관 대행의 인사말과 협조 약속이 있었음"",""weight"":6,""keyword"":""행정안전부""},{""reason"":""극우 유튜버 및 언론 관련 허위 정보 문제에 대한 질의가 포함됨"",""weight"":5,""keyword"":""가짜뉴스""},{""reason"":""용산 대통령실 영장 집행과 관련한 공권력 행사 문제로 토론됨"",""weight"":7,""keyword"":""공권력 집행""},{""reason"":""회의 중 제출된 서면질의와 답변 요청이 언급됨"",""weight"":4,""keyword"":""서면질의""}]"
421회,서울서부지방법원 폭동 사태 관련 긴급 현안 질의; 경찰의 대응 및 수사 진행 상황 보고; 폭동 관련자 및 선동자에 대한 법적 조치 및 책임 규명,"이번 421회 국회 행정안전위원회 회의는 서울서부지방법원에서 발생한 폭동 사태에 대한 긴급 현안 질의를 위해 개최되었다. 경찰청은 폭동 발생 경위와 대응 조치, 체포 및 수사 현황을 보고하였으며, 위원들은 폭력 행위에 대한 엄정 수사와 법적 책임 부과를 촉구했다. 일부 위원은 경찰 대응의 미흡함과 예방 실패를 지적하며 재발 방지를 강조했다. 또한 정치권 내 일부 인사의 발언과 행위가 폭동을 조장하거나 방조했다는 의혹에 대한 철저한 수사를 요구했다. 회의는 법치주의 수호와 공권력 강화, 폭동 재발 방지를 위한 대책 마련의 필요성을 공감하며 마무리되었다.","서부지방법원 폭동(10), 경찰 대응(9), 법치주의(9), 폭동 수사(8), 내란 선전·선동(7), 경찰 부상자(6), 정치적 갈등(6), 구속영장 집행(5), 재발 방지(5), 공권력 충돌(4)","{""법치주의"":9,""경찰 대응"":9,""재발 방지"":5,""폭동 수사"":8,""경찰 부상자"":6,""공권력 충돌"":4,""정치적 갈등"":6,""구속영장 집행"":5,""내란 선전·선동"":7,""서부지방법원 폭동"":10}","[{""reason"":""회의 전반에서 가장 핵심적으로 반복 언급된 주제"",""weight"":10,""keyword"":""서부지방법원 폭동""},{""reason"":""폭동 사태에 대한 경찰의 조치와 수사 진행 상황이 주요 안건임"",""weight"":9,""keyword"":""경찰 대응""},{""reason"":""폭동 사태가 법치주의에 대한 도전으로 규정되어 중요하게 다뤄짐"",""weight"":9,""keyword"":""법치주의""},{""reason"":""불법 행위자에 대한 엄정한 수사와 법적 책임 부과가 강조됨"",""weight"":8,""keyword"":""폭동 수사""},{""reason"":""전광훈 목사 등 일부 인사의 내란 선전·선동 혐의가 논의됨"",""weight"":7,""keyword"":""내란 선전·선동""},{""reason"":""경찰관 부상 상황이 여러 차례 언급되어 사태의 심각성을 보여줌"",""weight"":6,""keyword"":""경찰 부상자""},{""reason"":""회의 중 정치권 인사들의 발언과 갈등 양상이 드러남"",""weight"":6,""keyword"":""정치적 갈등""},{""reason"":""영장 집행 과정과 관련된 논란 및 절차적 문제 제기가 있었음"",""weight"":5,""keyword"":""구속영장 집행""},{""reason"":""유사 사태 재발 방지를 위한 대책 마련 필요성이 강조됨"",""weight"":5,""keyword"":""재발 방지""},{""reason"":""법원과 시위대 간 공권력 충돌 상황이 회의에서 다뤄짐"",""weight"":4,""keyword"":""공권력 충돌""}]"
422회,행정안전부 소관 법률안 24건 심사 및 의결; 부산 글로벌허브도시 특별법 관련 여야 입장 대립 및 입법공청회 요청; 중앙선거관리위원회 위원후보자 김대웅 인사청문회 실시계획서 채택 및 증인·참고인 출석요구,"제422회 국회 행정안전위원회 법안심사소위에서는 행정안전부 소관 법률안 24건을 심사하고 다수 법안을 의결하였다. 회의 초반에는 부산 글로벌허브도시 특별법과 관련하여 야당인 민주당과 여당 간에 입법공청회 개최 문제로 격렬한 논쟁이 벌어졌다. 민주당은 특별법에 반대하지 않으나 여야 간 합의가 되지 않아 진전이 없음을 강조했고, 여당은 민주당의 태도를 강하게 비판하였다. 이후 지방재정법 일부개정법률안 등 주요 법안에 대해 전문위원 보고와 정부 측 의견 청취가 이루어졌다. 또한, 중앙선거관리위원회 위원후보자 김대웅에 대한 인사청문회 실시계획서가 채택되고 증인·참고인 출석요구가 의결되었다. 회의는 관련 기관장들의 인사말과 함께 마무리되었다.","부산 글로벌허브도시 특별법(10), 행정안전부 법률안 심사(9), 중앙선거관리위원회 인사청문회(8), 지방재정법 일부개정법률안(7), 입법공청회(7), 여야 간 협의(6), 법안 의결(6), 재난 및 안전관리 기본법(5), 소방공무원 보건안전 및 복지(4), 자료제출 요구(4)","{""법안 의결"":6,""입법공청회"":7,""여야 간 협의"":6,""자료제출 요구"":4,""행정안전부 법률안 심사"":9,""재난 및 안전관리 기본법"":5,""지방재정법 일부개정법률안"":7,""부산 글로벌허브도시 특별법"":10,""소방공무원 보건안전 및 복지"":4,""중앙선거관리위원회 인사청문회"":8}","[{""reason"":""회의 전반에서 여야 간 격렬한 논쟁과 입법공청회 요청의 핵심 쟁점으로 반복 언급됨"",""weight"":10,""keyword"":""부산 글로벌허브도시 특별법""},{""reason"":""24건의 법률안 심사 및 의결이 회의의 주요 업무였음"",""weight"":9,""keyword"":""행정안전부 법률안 심사""},{""reason"":""위원후보자 김대웅 인사청문회 계획 및 증인·참고인 출석요구가 의결됨"",""weight"":8,""keyword"":""중앙선거관리위원회 인사청문회""},{""reason"":""대구경북통합신공항 건설 관련 지방채 발행 근거 마련 등 주요 법안으로 다뤄짐"",""weight"":7,""keyword"":""지방재정법 일부개정법률안""},{""reason"":""부산 특별법 관련 공청회 개최 요구가 여야 간 대립의 핵심 사안임"",""weight"":7,""keyword"":""입법공청회""},{""reason"":""여야 간 합의 부재와 협의 과정이 여러 차례 언급됨"",""weight"":6,""keyword"":""여야 간 협의""},{""reason"":""다수 법률안에 대해 심사보고서 채택 및 의결이 이루어짐"",""weight"":6,""keyword"":""법안 의결""},{""reason"":""특별재난지역 선포 절차 간소화 법안이 포함되어 있음"",""weight"":5,""keyword"":""재난 및 안전관리 기본법""},{""reason"":""소방 관련 법률안 일부개정이 의결됨"",""weight"":4,""keyword"":""소방공무원 보건안전 및 복지""},{""reason"":""인사청문회 관련 자료 제출 요구가 다수 접수되어 의결됨"",""weight"":4,""keyword"":""자료제출 요구""}]"
423회,"중앙선거관리위원회 위원후보자 김대웅 인사청문회 실시; 중앙선거관리위원회 채용비리 및 부정선거 의혹 관련 질의 및 대응 논의; 선거관리위원회의 공정성, 중립성 강화 및 제도 개선 방안 검토; 정당 보조금 배분 방식과 정치자금법 개정 필요성 논의; 여론조사 관리 및 공표 기준 강화 방안 검토","제423회 국회 행정안전위원회에서는 중앙선거관리위원회 위원후보자 김대웅에 대한 인사청문회를 진행하였다. 후보자는 법관 출신으로 공정성과 중립성을 바탕으로 선거관리위원회 역할을 수행하겠다는 의지를 표명하였다. 회의에서는 선관위 내 채용비리 및 부정선거 음모론에 대한 국민 불신 해소가 주요 쟁점으로 다뤄졌으며, 감사원 감사 결과와 허위 답변 문제에 대한 엄중한 대응 요구가 제기되었다. 또한, 선거관리위원회의 공정성 강화, 정치자금법 개정에 따른 정당 보조금 배분의 다원화, 여론조사 관리 강화 등의 제도 개선 필요성이 논의되었다. 위원들은 선관위 관계자의 출석과 성실한 답변을 촉구하였고, 인사청문경과보고서를 채택하며 후보자의 임명을 추진하였다.","중앙선거관리위원회(10), 인사청문회(9), 채용비리(9), 부정선거 의혹(8), 공정성(8), 정당 보조금(7), 여론조사 관리(7), 감사원 감사(6), 법관 출신(5), 국민 신뢰(6)","{""공정성"":8,""채용비리"":9,""국민 신뢰"":6,""법관 출신"":5,""인사청문회"":9,""감사원 감사"":6,""정당 보조금"":7,""부정선거 의혹"":8,""여론조사 관리"":7,""중앙선거관리위원회"":10}","[{""reason"":""회의의 핵심 주제로 후보자 인사청문회와 선관위 운영 전반에 관한 논의가 집중됨"",""weight"":10,""keyword"":""중앙선거관리위원회""},{""reason"":""김대웅 후보자에 대한 검증과 답변이 회의의 주요 진행 방식이자 목적임"",""weight"":9,""keyword"":""인사청문회""},{""reason"":""선관위 내 부정 채용 문제와 감사원 감사 결과가 주요 쟁점으로 다뤄짐"",""weight"":9,""keyword"":""채용비리""},{""reason"":""국민 불신 해소와 선거 공정성 확보를 위한 핵심 이슈로 반복 언급됨"",""weight"":8,""keyword"":""부정선거 의혹""},{""reason"":""선거관리위원회의 기본 가치로 후보자와 위원들이 강조한 핵심 덕목임"",""weight"":8,""keyword"":""공정성""},{""reason"":""정치자금법과 관련해 다원화된 정치 환경에 맞는 제도 개선 필요성이 제기됨"",""weight"":7,""keyword"":""정당 보조금""},{""reason"":""여론조사 공표 및 품질 기준 강화가 대선 대비 주요 과제로 논의됨"",""weight"":7,""keyword"":""여론조사 관리""},{""reason"":""선관위 채용비리 관련 감사 결과가 회의 내내 문제 제기의 근거로 활용됨"",""weight"":6,""keyword"":""감사원 감사""},{""reason"":""후보자의 경력으로 공정성과 중립성 신뢰 확보에 중요한 배경임"",""weight"":5,""keyword"":""법관 출신""},{""reason"":""선거관리위원회의 신뢰 회복이 회의 전반의 목표이자 논의 주제임"",""weight"":6,""keyword"":""국민 신뢰""}]"
424회,주한미군 장기미반환공여구역 지원에 관한 특별법안 철회 동의의 건; 청원 심사기간 연장 요구의 건; 2025년도 제1회 추가경정예산안 심사 및 의결; 재난 및 안전관리 기본법 등 관련 법률안 심사; 지역사랑상품권 및 산불 피해 복구 예산 관련 토론,"제424회 국회 행정안전위원회에서는 주한미군 장기미반환공여구역 지원 특별법안 철회 동의와 청원 심사기간 연장 요구를 의결하였다. 주요 안건인 2025년도 제1회 추가경정예산안 심사에서는 주로 3월 영남권 산불 피해 복구 예산과 민생회복 지원책이 논의되었다. 특히 산불 피해 지원 예산이 피해 규모에 비해 부족하다는 지적과 함께 지원 범위를 경제활동 기반 복구까지 확대할 필요성이 강조되었다. 지역사랑상품권 예산 증액을 둘러싼 여야 간 의견 대립이 있었으며, 상품권 발행이 민생경제 활성화에 기여할 수 있다는 주장과 재정 건전성 악화 우려가 맞섰다. 행안부 등 관계 기관은 예산 집행 시 위원회 의견을 반영하고 산불 피해 복구에 최선을 다할 것을 약속하였다. 회의는 추경안 의결과 관련한 후속 조치 및 법률 개정의 필요성도 함께 다루었다.","추가경정예산안(10), 산불 피해 복구(9), 지역사랑상품권(9), 민생회복 지원(8), 재난 및 안전관리 기본법(7), 예산 집행(6), 여야 대립(6), 소상공인 지원(5), 청원 심사기간 연장(3), 주한미군 반환공여구역(3)","{""여야 대립"":6,""예산 집행"":6,""민생회복 지원"":8,""소상공인 지원"":5,""산불 피해 복구"":9,""지역사랑상품권"":9,""추가경정예산안"":10,""청원 심사기간 연장"":3,""주한미군 반환공여구역"":3,""재난 및 안전관리 기본법"":7}","[{""reason"":""회의의 핵심 주제로 산불 피해 복구 및 민생 지원 예산 심사가 중심이었음"",""weight"":10,""keyword"":""추가경정예산안""},{""reason"":""영남권 산불 피해에 대한 예산 지원과 지원 범위 확대가 주요 쟁점임"",""weight"":9,""keyword"":""산불 피해 복구""},{""reason"":""민생경제 활성화 방안으로 예산 증액을 둘러싼 여야 간 논쟁이 집중됨"",""weight"":9,""keyword"":""지역사랑상품권""},{""reason"":""경제 침체 상황에서 민생 지원 정책 필요성이 여러 차례 강조됨"",""weight"":8,""keyword"":""민생회복 지원""},{""reason"":""재난 피해자 지원 범위 확대를 위한 법률 개정 논의가 병행됨"",""weight"":7,""keyword"":""재난 및 안전관리 기본법""},{""reason"":""위원회가 예산 집행 과정에서의 정부 협조와 입법 취지 반영을 주문함"",""weight"":6,""keyword"":""예산 집행""},{""reason"":""지역사랑상품권 예산 증액을 둘러싼 정치적 갈등과 의견 충돌이 두드러짐"",""weight"":6,""keyword"":""여야 대립""},{""reason"":""산불 피해 및 경기 침체 속 소상공인 지원 필요성이 언급됨"",""weight"":5,""keyword"":""소상공인 지원""},{""reason"":""회의 초반 처리된 청원 심사기간 연장 건으로 절차적 중요성 있음"",""weight"":3,""keyword"":""청원 심사기간 연장""},{""reason"":""법률안 철회 동의 건으로 회의에서 공식 의결됨"",""weight"":3,""keyword"":""주한미군 반환공여구역""}]"
425회,공직선거법 일부개정법률안 심사 및 의결; 행정안전위원회 간사 선임; 공직선거법 내 ‘행위’ 조항 삭제 여부 및 표현의 자유와 선거 공정성 논의; 선거기간 내 후보자 신분보장 및 공권력 행사 관련 선관위 입장 요청,425회 국회 행정안전위원회에서는 새로 보임된 위원들의 인사와 함께 간사 선임이 이루어졌다. 주요 안건으로는 공직선거법 일부개정법률안이 상정되어 ‘행위’ 조항 삭제를 중심으로 표현의 자유와 선거 공정성 간 균형에 대한 심도 있는 논의가 진행되었다. 야당은 절차적 문제와 법안 내용에 강한 반대 입장을 표명하며 토론과 표결 과정에서 일부 위원들이 퇴장하는 등 갈등이 있었다. 전문위원과 정부 측은 법안의 법적 정합성과 영향에 대해 신중한 검토를 권고하였다. 또한 선거기간 내 후보자에 대한 부당한 공권력 행사 제한과 관련하여 중앙선관위의 명확한 입장 표명을 요청하였다. 회의는 법안 의결과 선관위 인사말씀 후 마무리되었다.,"공직선거법(10), 행위 조항(9), 행정안전위원회(8), 표현의 자유(8), 선거 공정성(8), 간사 선임(6), 중앙선관위(6), 절차적 문제(7), 허위사실공표죄(7), 대체토론(5)","{""대체토론"":5,""간사 선임"":6,""행위 조항"":9,""공직선거법"":10,""중앙선관위"":6,""선거 공정성"":8,""절차적 문제"":7,""표현의 자유"":8,""행정안전위원회"":8,""허위사실공표죄"":7}","[{""reason"":""회의의 핵심 안건으로 법 개정과 관련된 주요 논의가 집중됨"",""weight"":10,""keyword"":""공직선거법""},{""reason"":""법 개정의 쟁점으로 표현의 자유와 선거 공정성 논의의 중심"",""weight"":9,""keyword"":""행위 조항""},{""reason"":""회의 주최 상임위로 위원 보임과 간사 선임 등 조직 운영 이슈 포함"",""weight"":8,""keyword"":""행정안전위원회""},{""reason"":""법 개정 논의에서 허위사실 공표와 관련된 기본권 쟁점으로 부각됨"",""weight"":8,""keyword"":""표현의 자유""},{""reason"":""법 개정 목적 중 하나로 ‘행위’ 삭제가 미칠 영향에 대한 논쟁 대상"",""weight"":8,""keyword"":""선거 공정성""},{""reason"":""위원회 운영과 관련된 중요한 조직적 결정 사항"",""weight"":6,""keyword"":""간사 선임""},{""reason"":""선거법 관련 후속 조치 및 후보자 신분보장 문제에 대한 입장 요청 주체"",""weight"":6,""keyword"":""중앙선관위""},{""reason"":""법안 처리 과정에서 야당의 강한 반발과 퇴장 사태의 원인"",""weight"":7,""keyword"":""절차적 문제""},{""reason"":""법 개정 대상 조항으로 선거법 내 핵심 쟁점"",""weight"":7,""keyword"":""허위사실공표죄""},{""reason"":""법안 심사 과정에서 여러 위원들이 의견을 제시한 토론 방식"",""weight"":5,""keyword"":""대체토론""}]"
426회,2025년도 제2회 추가경정예산안 심사 및 의결; 행정안전부 및 소방청 소관 추경안 세부사업 심사; 부정선거 음모론 방지 및 선거 여론조사 신뢰도 제고 법안 심사,"제426회 국회 예산·결산기금심사소위원회에서는 행정안전부와 소방청 소관 2025년도 제2회 추가경정예산안을 심사하고 의결하였다. 주요 증액 사업으로는 민생회복 소비쿠폰, 산불피해 지역주민 공공형 긴급일자리 지원, 재해위험지역 정비 등이 포함되었으며, 지방비 매칭 부담 완화와 예산 집행의 효율성 제고를 위한 부대의견도 채택되었다. 또한 부정선거 음모론 방지, 선거 여론조사 품질 향상, 비례대표 후보자 선거운동 방식 확대 법안도 상정되어 심사 절차에 회부되었다. 위원들은 추경의 경제적 효과와 재정 부담에 대해 다양한 의견을 제시하며 향후 정책 반영을 요청하였다. 회의는 위원장과 정부 관계자의 인사말과 함께 마무리되었다.","추가경정예산안(10), 민생회복 소비쿠폰(9), 재해위험지역 정비(8), 산불피해 지역주민 일자리(8), 부대의견(7), 부정선거 음모론 방지법(7), 선거 여론조사 신뢰도(7), 비례대표 후보자 선거운동(6), 지방비 매칭 부담(6), 경제 효과 분석(5)","{""부대의견"":7,""경제 효과 분석"":5,""추가경정예산안"":10,""지방비 매칭 부담"":6,""민생회복 소비쿠폰"":9,""재해위험지역 정비"":8,""선거 여론조사 신뢰도"":7,""부정선거 음모론 방지법"":7,""비례대표 후보자 선거운동"":6,""산불피해 지역주민 일자리"":8}","[{""reason"":""회의의 핵심 주제로 행정안전부와 소방청 소관 추경안 심사 및 의결이 중심 내용임"",""weight"":10,""keyword"":""추가경정예산안""},{""reason"":""추경안 중 가장 큰 규모의 증액 사업으로 경기 진작과 민생 안정 목적임"",""weight"":9,""keyword"":""민생회복 소비쿠폰""},{""reason"":""재난안전관리본부 소관 주요 증액 사업으로 안전 강화와 피해 최소화에 중점"",""weight"":8,""keyword"":""재해위험지역 정비""},{""reason"":""긴급일자리 지원 사업으로 피해 지역 경제 회복과 주민 지원에 기여함"",""weight"":8,""keyword"":""산불피해 지역주민 일자리""},{""reason"":""예산 집행의 효율성과 지방재정 부담 완화를 위한 구체적 조치들이 다수 반영됨"",""weight"":7,""keyword"":""부대의견""},{""reason"":""사회적 문제인 허위선거 정보 유포 방지를 위한 법안으로 상정됨"",""weight"":7,""keyword"":""부정선거 음모론 방지법""},{""reason"":""여론조사 품질 향상과 부실 조사 방지를 위한 법률 개정안이 논의됨"",""weight"":7,""keyword"":""선거 여론조사 신뢰도""},{""reason"":""비례대표 후보자의 선거운동 범위 확대를 위한 법안이 상정되어 논의됨"",""weight"":6,""keyword"":""비례대표 후보자 선거운동""},{""reason"":""지방자치단체의 재정 부담 완화를 위한 국비 지원 및 매칭 조정이 주요 쟁점임"",""weight"":6,""keyword"":""지방비 매칭 부담""},{""reason"":""추경 지출의 경제적 실익과 효과에 대한 위원들의 지적과 요청이 반복됨"",""weight"":5,""keyword"":""경제 효과 분석""}]"
